ano;questao_na_prova;situacao;id_no_site;gabarito_novas;confianca_gabarito;enunciado
2015;24;já existia (ano marcado);osteometabolicas-0012;;;A síndrome de REITER caracteriza-se por conjuntivite, uretrite e sinovite
2015;25;já existia (ano marcado);trauma-0130;;;Na fratura diáfisária do femur, a fixação interna com placa pela via aberta está mais bem indicada na presença de
2015;26;NOVA (adicionada e comentada);pediatria-0599;B;alta;A fratura do colo do fêmur mais frequente na criança, segundo a classificação de DELBET & COLONNA, corresponde ao tipo
2015;27;já existia (ano marcado);tumores-0053;;;O granuloma eosinofílico em apresentação isolada é encontrado mais frequentemente
2015;28;já existia (ano marcado);trauma-0131;;;No mecanismo da luxação anterior traumática do quadril, o membro inferior está posicionado em rotação
2015;29;já existia (ano marcado);pe-tornozelo-0045;;;Na ruptura fechada do tendão calcâneo, o mecanismo de lesão mais comum envolve
2015;30;já existia (ano marcado);pediatria-0065;;;Na mielomeningocele, as fraturas ocorrem frequentemente na extremidade
2015;31;já existia (ano marcado);trauma-0132;;;A fratura da clavícula classificada segundo ROBINSON como 3A2, corresponde ao tipo
2015;32;já existia (ano marcado);pediatria-0066;;;A fratura de extremidade mais sugestiva de abuso infantil é a
2015;33;já existia (ano marcado);quadril-0053, quadril-0076, trauma-0133, trauma-0309, trauma-0952;;;Na avaliação radiográfica do acetábulo, a dissociação entre a linha ilioisquiática e a gota de lágrima de KÖHLER sugere fratura
2015;34;já existia (ano marcado);joelho-0031;;;A ruptura do tendão do quadríceps é mais comumente associada a
2015;35;já existia (ano marcado);mao-0065;;;Na rigidez pós-traumática da articulação metacarpofalângica, a capsulotomia é contraindicada se o arco de movimento alcançar
2015;36;já existia (ano marcado);trauma-0134;;;Na luxação da articulação acromioclavicular do tipo III de ROCKWOOD, existe integridade dos ligamentos coracoclaviculares quando há fratura
2015;37;já existia (ano marcado);trauma-0135;;;Na confecção da banda de tensão para tratamento da fratura do olécrano, a colocação dos fios de KIRSCHNER em posição muito lateral está relacionada com
2015;38;já existia (ano marcado);tumores-0054;;;O condrossarcoma primário tem seu pico de incidência na faixa etária entre
2015;39;já existia (ano marcado);mao-0066, mao-0067;;;No exame físico da mão, se a articulação interfalângica proximal não flexiona passivamente com a metacarpofalângica em extensão e flexiona passivamente com a metacarpofalângica em flexão, deve-se pensar em
2015;40;já existia (ano marcado);trauma-0340, trauma-0953;;;Na fratura do colo do fêmur do idoso tratada com redução anatômica e fixação interna, o fator mais frequentemente relacionado à reoperação é a
2015;41;já existia (ano marcado);pediatria-0067;;;Na artrogripose, a cirurgia de STEINDLER tem como objetivo a correção da deformidade em
2015;42;já existia (ano marcado);quadril-0028;;;A artrose do quadril secundária à OTTO PELVIS ocorre com maior frequência em
2015;43;já existia (ano marcado);trauma-0136;;;Na fratura do escafoide, a síndrome naviculocapitato caracteriza-se por
2015;44;já existia (ano marcado);coluna-0039;;;A paresia dos músculos bíceps braquial e extensores radiais do carpo, assim como a diminuição do reflexo estilorradial, são características da lesão da raiz
2015;45;já existia (ano marcado);joelho-0032;;;Na ruptura do ligamento cruzado anterior, a largura do túnel intercondilar é menor
2015;46;já existia (ano marcado);pediatria-0068;;;No pé torto congênito unilateral tratado pelo método de PONSETI, a órtese de DENIS BROWNE no pé normal deve ser utilizada com rotação lateral de
2015;47;já existia (ano marcado);trauma-0137;;;Na fratura da diáfise da tíbia, a lesão neurológica mais comum após osteossíntese intramedular é a do nervo
2015;48;já existia (ano marcado);mao-0068;;;A ruptura da banda sagital do capuz extensor dos dedos da mão ocorre mais comumente do lado
2015;49;já existia (ano marcado);joelho-0033;;;O fator mais importante para a luxação recidivante da patela é
2015;50;já existia (ano marcado);pediatria-0069;;;Na doença de LEGG-CALVÉ-PERTHES, a subluxação e o achatamento da cabeça femoral ocorrem na fase de
2015;51;já existia (ano marcado);trauma-0138;;;Na fratura do calcâneo tratada pela via lateral estendida, a principal fonte vascular do retalho fasciocutâneo é a artéria
2015;52;já existia (ano marcado);ombro-cotovelo-0043;;;O eixo de flexo-extensão do cotovelo no plano lateral encontra-se
2015;53;já existia (ano marcado);pediatria-0070, quadril-0029;;;Na artroplastia total do quadril displásico dos tipos 3 e 4 de CROWE, a principal complicação neurológica é a lesão do nervo
2015;54;já existia (ano marcado);mao-0069;;;No punho reumatoide, a lesão de MANNERFELT é relacionada à ruptura do tendão do
2015;55;já existia (ano marcado);conceitos-basicos-0052;;;As lesões musculares são mais comuns em músculos
2015;56;já existia (ano marcado);trauma-0139;;;Uma fratura AO 43-A3 com exposição de 3 cm e lesão isolada da artéria tibial anterior deve ser classificada, segundo GUSTILO et al, como do tipo
2015;57;já existia (ano marcado);trauma-0140;;;No paciente obeso com fratura subtrocantérica do fêmur, o implante mais recomendado é
2015;58;já existia (ano marcado);pediatria-0071;;;Na osteogênese imperfeita classificada segundo SILLENCE, a fragilidade óssea é mais grave no tipo
2015;59;já existia (ano marcado);trauma-0141;;;Na fratura isolada da cabeça do rádio classificada por MASON como tipo II, é indicação absoluta de tratamento cirúrgico
2015;60;já existia (ano marcado);conceitos-basicos-0053;;;A osteomielite hematogênica aguda do terço proximal do fêmur apresenta maior possibilidade de evolução para osteonecrose da epífise na faixa etária entre
2015;61;já existia (ano marcado);joelho-0034;;;O teste de McMURRAY para lesão meniscal do joelho é realizado
2015;62;já existia (ano marcado);tumores-0055;;;No cordoma sacrococcígeo, o diagnóstico radiográfico é dificultado pela
2015;63;já existia (ano marcado);joelho-0035;;;Na artroplastia total do joelho, o corte posterior dos côndilos femorais deve ser feito com
2015;64;já existia (ano marcado);ombro-cotovelo-0044;;;No ombro, o estabilizador primário da translação ântero-posterior da cabeça do úmero é
2015;65;já existia (ano marcado);trauma-0142;;;Na fratura do processo odontoide, a fixação com parafuso é contraindicada se houver
2015;66;já existia (ano marcado);ombro-cotovelo-0045;;;Na incidência radiográfica em perfil da escápula, a posição da cabeça do úmero em relação ao centro do Y é
2015;67;já existia (ano marcado);pediatria-0072;;;Na displasia do desenvolvimento do quadril diagnosticada tardiamente, o obstáculo intra- articular mais significativo para redução é
2015;68;já existia (ano marcado);pediatria-0073;;;A deformidade em rotação interna dos ossos da perna é associada ao pé
2015;69;já existia (ano marcado);trauma-0143;;;Na fratura toracolombar avaliada segundo a classificação de distribuição de carga (load sharing classification), a via anterior é indicada quando o somatório de pontos é
2015;70;já existia (ano marcado);trauma-0144;;;A complicação nervosa mais frequentemente observada na lesão de MONTEGGIA é a lesão do
2015;71;já existia (ano marcado);conceitos-basicos-0054;;;Na infecção vertebral, a principal via de disseminação é
2015;72;já existia (ano marcado);trauma-0145, trauma-0928;;;Na fratura diafisária proximal do rádio, o desvio do fragmento superior ocorre pela ação dos músculos
2015;73;já existia (ano marcado);mao-0070;;;A doença de DUPUYTREN caracteriza-se por
2015;74;já existia (ano marcado);trauma-0146;;;Na fratura da extremidade proximal do úmero, a complicação mais comum é
2015;75;já existia (ano marcado);ombro-cotovelo-0118, trauma-0147, trauma-0345, trauma-0947;;;O padrão mais simples de fratura-luxação do cotovelo é
2015;76;já existia (ano marcado);ombro-cotovelo-0046;;;A principal complicação da artroplastia semiconstrita do cotovelo é a
2015;77;já existia (ano marcado);coluna-0040;;;Na escoliose idiopática do adolescente, o risco de progressão da deformidade antes da maturidade esquelética está associado com
2015;78;já existia (ano marcado);pediatria-0074;;;Na tíbia vara de BLOUNT o ângulo de LEVINE-DRENNAN é
2015;79;NOVA (adicionada e comentada);pediatria-0600;D;alta;Na fratura supracondiliana do úmero em extensão, o desvio mais comum do fragmento distal é
2015;80;já existia (ano marcado);conceitos-basicos-0055;;;A fusão do arco posterior do atlas ocorre na faixa etária entre
2015;81;já existia (ano marcado);mao-0071;;;O corte transversal do rádio nas suas porções proximal, média e distal é respectivamente
2015;82;já existia (ano marcado);mao-0072;;;Na síndrome do túnel radial, a compressão do nervo interósseo posterior ocorre
2015;83;NOVA (adicionada e comentada);pediatria-0601;C;alta;Nas fraturas da metáfise proximal da tíbia em crianças, a complicação tardia associada à interposição da pata de ganso é
2015;84;já existia (ano marcado);quadril-0030;;;A vascularização da cabeça do fêmur depende predominantemente dos vasos capsulares localizados nas regiões
2015;85;já existia (ano marcado);joelho-0036;;;É contraindicação absoluta para artroplastia total do joelho
2015;86;já existia (ano marcado);coluna-0041;;;Na hérnia discal cervical, a compressão da raiz nervosa de C6 causa alteração da sensibilidade no dedo
2015;87;já existia (ano marcado);coluna-0042;;;Na doença de SCHEUERMANN, o diagnóstico diferencial mais comum é
2015;88;já existia (ano marcado);pe-tornozelo-0046;;;No pé diabético, segundo a classificação de WAGNER, a presença de exposição de tendões corresponde ao grau
2015;89;já existia (ano marcado);trauma-0148;;;Na fratura do planalto tibial, o acesso póstero-lateral é realizado no intervalo entre os músculos
2015;90;NOVA (adicionada e comentada);pediatria-0602;A;média;A fratura da tuberosidade da tíbia em crianças classificada por SALTER-HARRIS como tipo I corresponde, na classificação de WATSON-JONES, ao tipo
2015;91;já existia (ano marcado);pe-tornozelo-0047;;;No hálux rígido, segundo a classificação de COUGHLIN e SHURNAS, a presença de dor mais constante, moderada diminuição do espaço articular e moderada restrição da mobilidade, corresponde ao grau
2015;92;já existia (ano marcado);osteometabolicas-0013;;;O tratamento cirúrgico da fratura da coluna vertebral secundária à osteoporose está indicado na presença de
2015;93;já existia (ano marcado);trauma-0149;;;Nas fraturas do tornozelo, é considerado parâmetro radiográfico de boa redução o
2015;94;já existia (ano marcado);pe-tornozelo-0048;;;Na pesquisa clínica da ruptura do tendão calcâneo, pede-se ao paciente em decúbito ventral e com as pernas fora da mesa de exame que realize a flexão ativa dos joelhos até 90º. Neste momento observa-se a posição do pé, se está em flexão plantar, neutro ou flexão dorsal. Este teste foi descrito por
2015;95;já existia (ano marcado);mao-0073;;;A sindactilia da mão ocorre mais frequentemente entre o
2015;96;já existia (ano marcado);mao-0074;;;A doença de KIENBOCK ocorre mais frequentemente em
2015;97;NOVA (adicionada e comentada);pediatria-0603;C;alta;Nas fraturas diafisárias estáveis do fêmur acima dos 11 anos de idade, o tratamento definitivo recomendado é
2015;98;já existia (ano marcado);trauma-0150;;;Na síndrome compartimental aguda, o coeficiente Delta-P é obtido subtraindo-se a pressão
2015;99;NOVA (adicionada e comentada);pediatria-0604;D;alta;A fratura do terço distal do rádio na criança tem indicação de tratamento emergencial quando houver
2015;100;já existia (ano marcado);trauma-0151;;;A ocorrência da síndrome compartimental crônica da perna está associada à presença de
2016;1;já existia (ano marcado);coluna-0028;;;Na discopatia lombar, a diminuição significativa da força do tríceps sural indica compressão da raíz de
2016;2;já existia (ano marcado);trauma-0107;;;Na“fratura do enforcado”a lesão de C2 localiza-se
2016;3;já existia (ano marcado);coluna-0029;;;Na estenose lombar central os sintomas são
2016;4;já existia (ano marcado);ombro-cotovelo-0031;;;A maior estabilidade da articulação esternoclavicular, no que diz respeito à translação posterior, é fornecida
2016;5;já existia (ano marcado);coluna-0030;;;Para um paciente com escoliose idiopática do adolescente, cuja curva é de 10o e o índice de RISSER é grau 1, a probabilidade de progressão da curva é de
2016;6;já existia (ano marcado);coluna-0031;;;Na doença de SCHEUERMANN,o ápice da curva ocorre entre
2016;7;já existia (ano marcado);mao-0051;;;Nos tendões flexores superficiais dos dedos da mão, uma área isquêmica está presente sob a polia
2016;8;NOVA (adicionada e comentada);pediatria-0605;A;alta;A fratura do odontoide na criança, quando classificada por SALTER-HARRIS, apresenta-se usualmente como do tipo
2016;9;já existia (ano marcado);ombro-cotovelo-0032;;;Na anatomia do cotovelo, a estrutura ligamentar que se insere no tubérculo sublime da ulna é
2016;10;já existia (ano marcado);trauma-0108;;;Na fratura do terço distal do úmero no adulto, o nervo mais comumente acometido é o
2016;11;já existia (ano marcado);coluna-0032, coluna-0043;;;A Síndrome de BROWN-SÈQUARD é caracterizada por déficit motor e
2016;12;já existia (ano marcado);coluna-0033;;;Na hérnia de disco cervical que comprime a raíz de C6,o exame físico do paciente revela
2016;13;já existia (ano marcado);trauma-0109;;;As fraturas do capítulo umeral em adultos são classificadas pela AO como
2016;14;já existia (ano marcado);ombro-cotovelo-0033;;;Na ruptura completa do tendão distal do bíceps braquial, o teste físico que apresenta 100% de sensibilidade e especificidade para o diagnóstico é o
2016;15;já existia (ano marcado);quadril-0019;;;A ruptura do tendão do glúteo médio é mais frequente em
2016;16;já existia (ano marcado);tumores-0044;;;O cisto ósseo unicameral é mais freqüente
2016;17;já existia (ano marcado);osteometabolicas-0008;;;Na artrite reumatoide, o paciente que está limitado a executar pouca atividade diária é categorizado, segundo o escore de capacidadefuncional da Associação Americana de Reumatologia,como classe
2016;18;já existia (ano marcado);pediatria-0058;;;Na paralisia cerebral, o nível funcional mais frequente segundo o Gross Motor and Functional Classification System (GMFCS) é o
2016;19;já existia (ano marcado);tumores-0045;;;Na fase inicial da histiocitose de células de LANGERHANS, a imagem radiográfica assemelha-se a
2016;20;já existia (ano marcado);pediatria-0059, pediatria-0472;;;Na osteogênese imperfeita, o aminoácido envolvido no defeito do colágeno tipo I é a
2016;21;já existia (ano marcado);conceitos-basicos-0044, conceitos-basicos-0258;;;Na fixação externa circular, o aumento da estabilidade é obtido com
2016;22;já existia (ano marcado);conceitos-basicos-0045;;;No tratamento da infecção pós-osteossíntese, o uso local de antibiótico associado ao polimetilmetacrilato (cimento) requer que a droga escolhida seja
2016;23;já existia (ano marcado);trauma-0949;;;A fratura da clavícula na criança em idade escolar resulta frequentemente de
2016;24;já existia (ano marcado);mao-0052, trauma-0110;;;A maior parte da vascularização do polo proximal do escafoide entra pela crista
2016;25;já existia (ano marcado);mao-0053;;;No polegar trifalângico,a diminuição da primeira comissura e a ausência da musculatura tenar caracterizam o tipo
2016;26;já existia (ano marcado);quadril-0020;;;Na biomecânica do quadril, o ligamento isquiofemoral controla a
2016;27;já existia (ano marcado);trauma-0111;;;Na abordagem emergencial das lesões do anel pélvico, a instabilidade posterior é mais bem tratada com
2016;28;já existia (ano marcado);quadril-0021;;;A OTTO pelvis é caracterizada por ser
2016;29;já existia (ano marcado);quadril-0022;;;O quadril em ressalto interno decorre do atrito entre a eminência iliopectínea e o tendão do
2016;30;já existia (ano marcado);trauma-0112, trauma-0342, trauma-0945;;;Na fratura do acetábulo, o sinal radiográfico da “asa de gaivota” caracteriza a presença de
2016;31;já existia (ano marcado);quadril-0023;;;As fraturas periprotéticas do fêmur classificadas como B2 (VANCOUVER) têm como tratamento preferencial a
2016;32;já existia (ano marcado);quadril-0024;;;No impacto femoroacetabular do tipo CAM, a lesão em contragolpe é mais comumente encontrada nas regiões
2016;33;já existia (ano marcado);quadril-0025;;;Na osteonecrose da cabeça do fêmur classificada segundo STEINBERG, o sinal do crescente acometendo 20% da superfície articular corresponde ao estágio
2016;34;já existia (ano marcado);quadril-0026;;;Na osteíte do púbis, um dos achados na imagem da ressonância magnética é a tendinose do
2016;35;já existia (ano marcado);pe-tornozelo-0036;;;Na artrodese do tornozelo, o tálus deve ser posicionado em
2016;36;já existia (ano marcado);trauma-0113;;;A fratura multifragmentária da região anterior do pilão tibial é mais frequentemente associada ao mecanismo de trauma
2016;37;já existia (ano marcado);pe-tornozelo-0037;;;A insuficiência do tendão tibial posterior é evidenciada clinicamente pelo
2016;38;já existia (ano marcado);mao-0054, ombro-cotovelo-0100, ombro-cotovelo-0384, trauma-0308, trauma-0942;;;Na anatomia do terço médio do antebraço, o ramo profundo do nervo radial encontra-se junto à
2016;39;já existia (ano marcado);pediatria-0060;;;A sinostose radiulnar congênita geralmente é uma alteração
2016;40;NOVA (adicionada e comentada);pediatria-0606;C;alta;Na criança com deformidade plástica do antebraço e limitação da pronossupinação,o tratamento indicado é
2016;41;já existia (ano marcado);coluna-0034;;;Na rotação axial da coluna cervical, a articulação atlanto-axial é responsável por aproximadamente
2016;42;já existia (ano marcado);coluna-0035;;;No choque neurogênico ocorre
2016;43;já existia (ano marcado);trauma-0114;;;Na fratura do sacro classificada por DENIS como zona III, a probabilidade de lesão neurológica é de
2016;44;já existia (ano marcado);ombro-cotovelo-0034;;;Na epicondilite lateral do cotovelo, as alterações patológicas envolvem principalmente a origem do músculo
2016;45;já existia (ano marcado);ombro-cotovelo-0035, ombro-cotovelo-0114, ombro-cotovelo-0389;;;No tratamento cirúrgico do cotovelo rígido, o “procedimento da coluna” é realizado através do acesso
2016;46;já existia (ano marcado);mao-0055;;;Na síndrome do túnel cubital classificada por McGOWAN, a categoria III é caracterizada por
2016;47;já existia (ano marcado);pediatria-0061;;;A luxação congênita da cabeça do rádio geralmente é
2016;48;já existia (ano marcado);conceitos-basicos-0046;;;Na amputação por vasculopatia periférica, a complicação mais comum é a
2016;49;já existia (ano marcado);pediatria-0474;;;O anel pericondral de LaCROIX é uma estrutura
2016;50;já existia (ano marcado);conceitos-basicos-0047;;;Na retirada de aparelhos gessados recomenda-se a utilização de serras
2016;51;já existia (ano marcado);osteometabolicas-0009;;;Na osteoporose pós menopausa, a diminuição abrupta da massa óssea tem relação com níveis decrescentes de
2016;52;já existia (ano marcado);conceitos-basicos-0048;;;Na síndrome dolorosa regional complexa a presença de pele úmida, cianótica e fria caracteriza o estágio
2016;53;já existia (ano marcado);pediatria-0062, pediatria-0484;;;A neurofibromatose do tipo 1 é
2016;54;NOVA (adicionada e comentada);pediatria-0607;C;alta;Nas lesões fisárias tipo VI, segundo a classificação de PETERSON, ocorre
2016;55;já existia (ano marcado);joelho-0251;;;Na ATJ,o defeito ósseo extenso na região metafisária com cortical íntegra é classificado, segundo RAND,como tipo
2016;56;já existia (ano marcado);joelho-0026;;;A lesão meniscal mais comum é a
2016;57;já existia (ano marcado);joelho-0027;;;Na reconstrução do LCP, a complicação mais comum é a
2016;58;já existia (ano marcado);joelho-0028;;;A ruptura do ligamento patelar é mais comum em pacientes
2016;59;já existia (ano marcado);trauma-0115;;;No joelho flutuante, a incidência de fratura exposta associada é de aproximadamente
2016;60;NOVA (adicionada e comentada);pediatria-0608;D;média;Na fratura do terço distal do fêmur na criança a lesão associada mais comum é a
2016;61;já existia (ano marcado);ombro-cotovelo-0036;;;A artroplastia reversa do ombro tem como contra-indicação a
2016;62;já existia (ano marcado);ombro-cotovelo-0037;;;Na capsulite adesiva do ombro, o aumento da sua incidência está relacionado com
2016;63;já existia (ano marcado);ombro-cotovelo-0038;;;Na tendinite calcárea do ombro, a fase II de SARKAR-UHTHOFF é caracterizada por
2016;64;já existia (ano marcado);conceitos-basicos-0049;;;Na correção de uma deformidade na diáfise da tíbia, se o CORA, o eixo de correção e a linha da osteotomia estão no mesmo ponto, devemos realizar
2016;65;já existia (ano marcado);trauma-0116;;;Na síndrome compartimental após fratura exposta da tíbia, a lesão de partes moles corresponde, segundo a classificação de TSCHERNE, ao grau
2016;66;já existia (ano marcado);mao-0056;;;Na instabilidade perilunar progressiva do carpo, o estágio III de MAYFIELD é caracterizado pela falha do ligamento
2016;67;já existia (ano marcado);mao-0057;;;Adoença de KIËNBOCK tem como fator de risco para sua ocorrência
2016;68;já existia (ano marcado);mao-0058;;;A lesão do tendão extensor do dedo médio na região metacarpofalângica corresponde, na classificação topográfica, à zona
2016;69;já existia (ano marcado);mao-0059;;;A mão reumatoide apresenta como característica clínica o acometimento
2016;70;já existia (ano marcado);mao-0060;;;Na síndrome do túnel do carpo, o teste mais específico e sensível para o diagnóstico é o de
2016;71;já existia (ano marcado);mao-0061, mao-0161, mao-0559;;;O polegar em gatilho na criança é uma alteração
2016;72;já existia (ano marcado);conceitos-basicos-0050, conceitos-basicos-0089;;;Numa criança com limitação para o apoio do membro e leucocitose de 13.000/ml, a probabilidade de artrite séptica do quadril é de aproximadamente
2016;73;já existia (ano marcado);pe-tornozelo-0038;;;A fisiopatologia da artropatia de CHARCOT que acomete o pé, envolve
2016;74;já existia (ano marcado);pe-tornozelo-0039;;;A fasciíte plantar está relacionada à presença de
2016;75;já existia (ano marcado);pe-tornozelo-0040;;;O hálux rígido está associado
2016;76;já existia (ano marcado);pe-tornozelo-0041;;;Na lesão osteocondral do tálus classificada segundo BERNDT E HARTY, o tratamento conservador está indicado no tipo
2016;77;já existia (ano marcado);pe-tornozelo-0042;;;O metatarso aduto está frequentemente associado com
2016;78;já existia (ano marcado);pe-tornozelo-0043;;;A coalizão tarsal envolve mais comumente as articulações
2016;79;já existia (ano marcado);joelho-0029;;;Na instabilidade patelar o “sinal do cruzamento”é observado na tróclea do tipo
2016;80;NOVA (adicionada e comentada);pediatria-0609;B;alta;A fratura da base da falange proximal do polegar tipo III de SALTER-HARRIS, ocorre por avulsão
2016;81;já existia (ano marcado);mao-0062, mao-0148, mao-0556;;;Na plexopatia neonatal classificada segundo NAKARAS, aquela que evolui com recuperação total entre a primeira e a oitava semanas é a do tipo
2016;82;já existia (ano marcado);tumores-0046;;;Na doença de PAGET, as atividades osteoclástica e osteoblástica apresentam-se, respectivamente
2016;83;já existia (ano marcado);trauma-0117;;;Na fratura da cabeça femoral, o fragmento livre localiza-se mais comumente na posição
2016;84;já existia (ano marcado);trauma-0118;;;Na osteonecrose após fratura-luxação do tálus, o diagnóstico radiográfico é feito a partir de
2016;85;já existia (ano marcado);tumores-0047;;;O fibroma não ossificante localiza-se caracteristicamente na região
2016;86;já existia (ano marcado);tumores-0048;;;O cisto ósseo unicameral no adulto acomete principalmente o
2016;87;já existia (ano marcado);tumores-0049;;;O sarcoma de partes moles mais comum na infância é o
2016;88;já existia (ano marcado);joelho-0030;;;Nas rupturas crônicas do tendão do quadríceps, a técnica de reparo com alongamento do tendão e retalho em V invertido é a descrita por
2016;89;já existia (ano marcado);trauma-0085, trauma-0919;;;Na fratura diafisária da clavícula, os desvios típicos do fragmento lateral são
2016;90;já existia (ano marcado);trauma-0119;;;A fratura do colo da falange média com angulação de ápice volar ocorre por ação do músculo
2016;91;já existia (ano marcado);trauma-0120;;;Na fratura da extremidade distal do fêmur, a complicação mais comum é
2016;92;já existia (ano marcado);trauma-0121;;;Na fratura de BENNETT, o primeiro metacarpal é supinado por ação do
2016;93;já existia (ano marcado);coluna-0036, coluna-0084, coluna-0276;;;Na lombalgia aguda, deve-se solicitar uma radiografia de coluna lombar em caso de
2016;94;já existia (ano marcado);trauma-0122;;;A técnica de MATTI-RUSSE para tratamento da pseudartrose do escafoide utiliza enxerto ósseo
2016;95;já existia (ano marcado);trauma-0123, trauma-0162;;;A fratura do odontoide mais comum e que cursa com pseudartrose em 36% dos casos é, segundo ANDERSON e D’ALONSO, a do tipo
2016;96;já existia (ano marcado);trauma-0124;;;Na fratura do acetábulo que acomete a parede anterior, a transmissão da energia do trauma se dá pelo eixo
2016;97;já existia (ano marcado);trauma-0125;;;A luxação aguda do joelho com ruptura dos ligamentos cruzados e integridade dos colaterais é classificada, segundo SCHENCK, como
2016;98;já existia (ano marcado);trauma-0126;;;A instabilidade do complexo suspensório superior do ombro ocorre em caso de fratura do
2016;99;já existia (ano marcado);trauma-0127;;;Na fratura da clavícula do tipo IIB de CRAIG, ocorre a ruptura do periósteo e do ligamento
2016;100;já existia (ano marcado);quadril-0027, quadril-0223;;;O offset do componente femoral de uma prótese do quadril é representado na figura pela distância
2017;1;NOVA (adicionada e comentada);pediatria-0610;D;baixa;Na fratura do côndilo lateral na criança, o músculo que se mantém preso ao fragmento distal é o
2017;2;já existia (ano marcado);ombro-cotovelo-0025;;;A estrutura mais importante para garantir a estabilidade do cotovelo no estresse em valgo a 90° de flexão é
2017;3;já existia (ano marcado);joelho-0020;;;Na gonartrose unicompartimental medial, preconiza-se para o paciente de 50 anos de idade com joelho varo de 25°
2017;4;já existia (ano marcado);trauma-0084;;;A fratura toracolombar por explosão é caracterizada por
2017;5;já existia (ano marcado);coluna-0024;;;Na escoliose idiopática do adolescente, uma paciente de 14 anos com menarca há dois anos e ângulo de COBB de 35° deve
2017;6;já existia (ano marcado);pediatria-0045;;;Na deficiência femoral focal proximal, a anomalia congênita mais comumente associada é
2017;7;já existia (ano marcado);pediatria-0046;;;Na pseudartrose congênita da tíbia, a deformidade angular característica é
2017;8;já existia (ano marcado);ombro-cotovelo-0026;;;O principal estabilizador estático da articulação glenoumeral é o ligamento
2017;9;já existia (ano marcado);conceitos-basicos-0036;;;Para a prevenção da síndrome da dor regional complexa após fratura do terço distal do rádio, indica-se a administração diária de vitamina
2017;10;já existia (ano marcado);pediatria-0047;;;Na luxação congênita da cabeça do rádio, os desvios mais comuns são
2017;11;NOVA (adicionada e comentada);pediatria-0611;D;baixa;A fratura “em galho verde” do olécrano associada à fratura do colo do rádio ocorre quando o antebraço e o cotovelo estão, respectivamente, em
2017;12;já existia (ano marcado);pe-tornozelo-0029;;;No pé talo vertical, há contratura
2017;13;já existia (ano marcado);mao-0041;;;Na síndrome do nervo interósseo anterior, há fraqueza ou paralisia do
