questao_no_pdf;situacao;id_no_site;gabarito_pdf;enunciado
25;no site (TEOT 2025);osteometabolicas-0050;B;Na tuberculose óssea, quando há presença de lesões isoladas no pé, os ossos mais acometidos são:
26;no site (TEOT 2025);pe-tornozelo-0227;D;Na coalizão tarsal, o sinal radiográfico de “nariz de tamanduá” está relacionado à coalizão:
27;NÃO está no site;;D;Nas fraturas diafisárias do fêmur em crianças de 6 meses a 5 anos de idade, com menos de 2 cm de encurtamento, é recomendado tratamento com:
28;no site (TEOT 2025);trauma-0749;A;Nas fraturas transtrocanterianas do fêmur, a espessura da parede lateral é a distância, em milímetros, entre um ponto:
29;NÃO está no site;;D;Na avaliação das lesões labrais glenoidais, a linha do equador (entre as posições 3 e 9 horas) divide a glenoide em duas regiões. As lesões localizadas acima da linha são frequentemente associadas à:
30;no site (TEOT 2025);tumores-0246;D;A histiocitose das células de LANGERHANS com lesões no crânio associada à exoftalmia e ao diabetes insipidus caracteriza a:
31;no site (TEOT 2025);conceitos-basicos-0185;A;No processo de consolidação óssea, o tabagismo tem relevância, pois a nicotina:
32;no site (TEOT 2025);trauma-0750;A;Na fratura do terço proximal do úmero no paciente adulto, a lesão neurológica mais frequentemente associada é a do nervo:
33;no site (TEOT 2025);tumores-0247;C;De acordo com ENNEKING, uma lesão tumoral maligna, intracompartimental, de alto grau e sem metástases à distância, está no estágio:
34;no site (TEOT 2025);trauma-0751;A;A complicação óssea mais comum no tratamento de fratura articular do terço distal do rádio utilizando-se o método da placa de expansão dorsal (dorsal spanning plate) demonstrada na imagem a seguir é:
35;no site (TEOT 2025);mao-0413;A;Para a realização do retalho fasciocutâneo do antebraço, conhecido como “retalho chinês” para cobertura cutânea, é essencial a avaliação prévia do teste clínico descrito por:
36;no site (TEOT 2025);trauma-0752;A;No tratamento cirúrgico com haste cefalomedular da fratura subtrocanteriana, o ponto de entrada excessivamente lateral favorece a ocorrência de mau alinhamento em:
37;no site (TEOT 2025);trauma-0753;B;Na avaliação da articulação esternoclavicular, a incidência radiográfica demonstrada na figura a seguir chama-se:
38;no site (TEOT 2025);mao-0414;B;ANULADA Na investigação clínica da lesão traumática das raízes altas do plexo braquial em adultos, o teste da protração do ombro verifica a função do músculo:
39;no site (TEOT 2025);conceitos-basicos-0186;D;Na fase aguda da lesão muscular, imediatamente após o trauma, as células mais abundantes no local da lesão são:
40;NÃO está no site;;C;Nas lesões traumáticas toracolombares em crianças, o sinal da faceta vazia (empty facet) é observado nas imagens tomográficas no plano:
41;no site (TEOT 2025);trauma-0754, osteometabolicas-0051;C;Na fratura por insuficiência da coluna vertebral, o tratamento com cimentação percutânea tem descrição de extravasamento do cimento em:
42;no site (TEOT 2025);coluna-0216;A;Na imagem abaixo, a seta representa o ligamento:
43;no site (TEOT 2025);trauma-0755;B;Paciente vítima de acidente motociclístico, com imagem de tomografia a seguir, sem déficit neurológico, de acordo com a classificação SLIC (Subaxial Injury Classification), tem indicação de tratamento:
44;no site (TEOT 2025);pediatria-0330;B;Uma criança recém nascida é encaminhada para consulta ortopédica por deformidade bilateral nas pernas desde o nascimento. As deformidades identificadas nas radiografias a seguir podem estar associadas à:
45;no site (TEOT 2025);mao-0416;A;Na polidactilia do polegar, segundo a classificação de WASSEL, o procedimento de BILHAUT-CLOQUET é indicado para correção nos tipos:
46;no site (TEOT 2025);tumores-0249;D;O paciente com diagnóstico de osteossarcoma com skip metástases tem:
47;NÃO está no site;;D;No tratamento cirúrgico da hérnia discal, quando ocorre lesão da dura-máter, o medicamento que funciona como um dreno químico, promovendo a diminuição da produção liquórica pelo plexo coroide através da inibição da anidrase carbônica é:
48;NÃO está no site;;C;Na osteonecrose do quadril, as imagens de ressonância magnética a seguir demonstram o método de:
49;no site (TEOT 2025);pediatria-0331;D;Na doença de Legg-Calvé-Perthes, de acordo com a classificação de Herring, a imagem radiográfica que apresenta diminuição de mais de 50% do pilar lateral corresponde ao grupo:
50;no site (TEOT 2025);trauma-0756;B;Na fratura do anel pélvico, a lesão geniturinária ocorre mais comumente em:
51;NÃO está no site;;A;Na espondilolistese, conforme a classificação de WILTSE, NEWMAN e MACNAB, a figura a seguir ilustra o tipo:
52;no site (TEOT 2025);joelho-0186;C;Na restrição à hiperextensão do joelho, o ligamento cruzado posterior:
53;NÃO está no site;;A;Em crianças, a fratura supracondilar do úmero com desvio posteromedial deve ser reduzida por manobra de:
54;no site (TEOT 2025);mao-0418;B;Na doença de Kienbock, o padrão mais comum de fratura do osso semilunar acomete o polo:
55;NÃO está no site;;C;Fraturas do Ombro Um menino de 11 anos, vítima de atropelamento por carro, apresenta-se na emergência com queixa de dor no ombro esquerdo e impotência funcional. Conforme a imagem a seguir, o diagnóstico mais provável é de:
56;no site (TEOT 2025);trauma-0757;C;A fratura do processo coronoide demonstrada nas imagens a seguir pode ser classificada de acordo com O’DRISCOLL, como tipo:
57;no site (TEOT 2025);coluna-0219;D;Na propedêutica da coluna vertebral, podemos afirmar que o sinal de HOFFMAN é um reflexo:
58;no site (TEOT 2025);pe-tornozelo-0231;D;Na Artropatia de Charcot do tornozelo, o tratamento cirúrgico na fase inflamatória está associado a:
59;no site (TEOT 2025);osteometabolicas-0052;B;Na avaliação de um paciente com osteoporose, o cálculo do FRAX leva em consideração o:
60;NÃO está no site;;A;Nas crianças, a complicação tardia mais comum da fratura diafisária isolada da tíbia é a deformidade em:
61;no site (TEOT 2025);trauma-0758;D;Para balancear a reação inflamatória sistêmica ao trauma e evitar que ela se torne muito destrutiva:
62;no site (TEOT 2025);trauma-0759;C;As fraturas do olecrano tipo 2B na classificação de Mayo devem ser tratadas, preferencialmente, com:
63;no site (TEOT 2025);coluna-0220;D;Nas deformidades congênitas por defeito de segmentação e/ou formação, a figura a seguir que apresenta maior risco de progressão da escoliose é a:
64;no site (TEOT 2025);tumores-0250;B;O sarcoma induzido por radiação mais comum é o:
65;NÃO está no site;;C;Em crianças, a complicação mais comum da fratura da extremidade do rádio é:
66;NÃO está no site;;D;Conforme a classificação AO SPINE das fraturas toracolombares, as imagens a seguir representam uma fratura do tipo:
67;no site (TEOT 2025);conceitos-basicos-0187;B;A associação de pioartrite com osteomielite pode ocorrer em crianças maiores de 18 meses de idade quando acomete a metáfise:
68;no site (TEOT 2025);trauma-0761;B;A fratura de Monteggia tipo 2 na classificação de BADO que ocorre na junção da metáfise com a diáfise da ulna é subclassificada como tipo:
69;no site (TEOT 2025);trauma-0762;A;ANULADA Na fratura exposta GUSTILO tipo I, o uso de antibiótico deve ser iniciado, já na sala de emergência, com cefalosporina de:
70;no site (TEOT 2025);pe-tornozelo-0232;B;Na imagem a seguir, a estrutura anatômica indicada pela seta é o músculo fibular:
71;NÃO está no site;;C;Em crianças com fratura da tuberosidade da tíbia, a complicação mais comum após redução fechada e fixação percutânea é:
72;NÃO está no site;;A;No diagnóstico clínico da ruptura do tendão bicipital distal, o Hook test deve ser realizado:
73;no site (TEOT 2025);coluna-0221;C;O abscesso epidural vertebral localiza-se mais frequentemente na região:
74;NÃO está no site;;D;A refratura dos ossos do antebraço em crianças é mais comum no sexo:
75;no site (TEOT 2025);trauma-0763;D;Na artrodese atlantoaxial, a técnica demonstrada na imagem a seguir, utilizando parafusos de massa lateral em C1 e translaminares em C2, é conhecida como técnica de:
76;no site (TEOT 2025);tumores-0251;D;A deformidade de BASSEL-HAGEN, que consiste em desvio ulnar do punho em razão da hipoplasia da ulna, está associada à presença de:
77;no site (TEOT 2025);pe-tornozelo-0233;A;Na figura apresentada a seguir, a estrutura anatômica apontada pela seta é a inserção do:
78;no site (TEOT 2025);pe-tornozelo-0234;D;Na biomecânica do tornozelo, a subluxação lateral do tálus em 1 mm diminui a área de contato da articulação tibiotársica em:
79;no site (TEOT 2025);trauma-0764;B;Na imagem radiográfica a seguir, a localização da fratura e sua respectiva classificação são:
80;no site (TEOT 2025);trauma-0765;A;No quadril do adulto, as lesões da cabeça femoral por impactação são mais comuns na luxação:
81;no site (TEOT 2025);trauma-0766;B;Na classificação de LAUGE HANSEN para as fratura maleolares, a sequência de lesão que corresponde à fratura classificada como WEBER A é:
82;no site (TEOT 2025);trauma-0767;C;A síndrome compartimental da coxa ocorre mais frequentemente no compartimento:
83;no site (TEOT 2025);trauma-0768;A;Na fratura desviada da diáfise da clavícula, o fragmento lateral assume as posições de rotação:
84;no site (TEOT 2025);joelho-0188;C;Na radiografia de joelho a seguir, a seta evidencia:
85;no site (TEOT 2025);pediatria-0332;D;Na avaliação da idade óssea radiográfica, o método de SAUVEGRAIN utiliza imagens:
86;no site (TEOT 2025);joelho-0189;A;A lesão meniscal evidenciada na figura a seguir corresponde a uma lesão:
87;no site (TEOT 2025);pe-tornozelo-0235;A;ANULADA Na ruptura aguda do tendão de Aquiles, a complicação mais comum do tratamento conservador é:
88;no site (TEOT 2025);conceitos-basicos-0188;C;Em corredores, a lesão muscular dos isquiotibiais mais comum é a do músculo:
89;no site (TEOT 2025);pediatria-0333;B;No tratamento cirúrgico do torcicolo congênito, a liberação proximal do músculo esternocleidomastoideo deve ser realizada na inserção óssea, a fim de evitar lesão do nervo:
90;no site (TEOT 2025);joelho-0190;A;Na avaliação clínica do joelho, o sinal de PISANI indica a presença de:
91;no site (TEOT 2025);pediatria-0334;A;Indivíduos com doença de PARKINSON sintomática apresentam marcha típica:
92;NÃO está no site;;A;Em crianças com fratura da região proximal do fêmur, segundo a classificação de DELBET, a maior incidência de osteonecrose da cabeça femoral ocorre no tipo:
93;no site (TEOT 2025);conceitos-basicos-0189, joelho-0191;A;Para o diagnóstico de infecção após artroplastia do joelho, segundo os critérios da Sociedade de Infecção Musculoesquelética (MSIS), é considerado critério maior:
94;no site (TEOT 2025);pe-tornozelo-0236;A;Na figura apresentada a seguir, as estruturas anatômicas assinaladas pelas setas 1 e 2 são, respectivamente:
95;no site (TEOT 2025);conceitos-basicos-0190;C;A osteomielite por Salmonella é mais comum em pacientes com:
96;no site (TEOT 2025);pediatria-0335;D;Nas mucopolissacaridoses, o resultado positivo no teste de queratan sulfato urinário acontece na síndrome de:
97;no site (TEOT 2025);pe-tornozelo-0237;A;No pé cavo da doença de CHARCOT-MARIE-TOOTH, em relação aos músculos, observamos que:
