questao_no_pdf;situacao;id_no_site;gabarito_pdf;gabarito_site;enunciado
19;no site (marcada TECOC);ombro-cotovelo-0190;B;B;"Na tendinite calcárea, segundo UHTHOFF e LÖER, ocorre formação de ""canais vasculares"", fagocitose e eliminação de cálcio por macrófagos no estágio"
20;no site (marcada TECOC);ombro-cotovelo-0191;C;C;Na tenodese do bíceps proximal, o uso de âncora é melhor indicado na
21;no site (marcada TECOC);ombro-cotovelo-0192;B;B;Na reconstrução da cápsula superior, a margem onde o enxerto deve ser suturado ao manguito de rotina, e o local com maior falha de fixação são, respectivamente
22;no site (marcada TECOC);ombro-cotovelo-0193;B;B;No tratamento cirúrgico da epicondilite lateral, a principal causa de dor no pós-operatório é a
23;no site (marcada TECOC);ombro-cotovelo-0194;B;B;No ombro congelado, é fator de risco o
24;no site (marcada TECOC);ombro-cotovelo-0195, trauma-0447;B;B;"Na incidência radiográfica ""serendipity view"", quando é visualizada uma ascensão de uma clavícula sobre uma linha imaginária da clavícula contralateral normal, a hipótese diagnóstica é de uma luxação esternoclavicular"
25;no site (marcada TECOC);trauma-0448;B;B;No ombro flutuante com fratura do colo anatômico da escápula, o sentido do desvio da fossa da glenoide é
26;no site (marcada TECOC);ombro-cotovelo-0196, trauma-0449;B;B;Na artroscopia de cotovelo, o portal que proporciona o melhor ângulo de ataque para realização de desbridamento e microfraturas no capítulo é o
27;no site (marcada TECOC);ombro-cotovelo-0197;A;A;A luxação de cotovelo vista a seguir, de acordo com o mecanismo descrito por O'DRISCOLL, está no estágio
28;no site (marcada TECOC);ombro-cotovelo-0198;B;B;No reparo do ligamento colateral lateral após luxação de cotovelo, se a fixação não for realizada no ponto isométrico, o maior risco de instabilidade ocorre se este for fixado mais
29;no site (marcada TECOC);trauma-0450;B;B;Na fratura a seguir, o grau de flexão do cotovelo no momento do trauma e o tipo de fratura, de acordo com a Classificação de MAYO, são respectivamente
30;no site (marcada TECOC);ombro-cotovelo-0199;A;A;Na luxação glenoumeral, a lesão do tipo HAGL ocorre geralmente na população
31;no site (marcada TECOC);ombro-cotovelo-0200;C;C;Na ruptura do músculo peitoral maior, a lesão inicia no segmento
32;no site (marcada TECOC);coluna-0134, ombro-cotovelo-0201;D;D;No ombro do arremessador, a síndrome denominada SICK scapula do tipo 2 ocorre por fraqueza dos músculos
33;no site (marcada TECOC);trauma-0451, conceitos-basicos-0122;D;D;Na fratura do tipo AO 12C3 com extensão para diáfise distal, o uso de haste intramedular produzirá uma área de trabalho
34;no site (marcada TECOC);trauma-0452;A;A;Na fratura diafisária da clavícula, a principal complicação vascular tardia é a compressão da
35;no site (marcada TECOC);ombro-cotovelo-0202;C;C;Na osteoartrite do ombro, a regra mnemônica dos três D`s (denervação, destruição e debris) remete à
36;no site (marcada TECOC);ombro-cotovelo-0203;B;B;Na artropatia hemofílica do cotovelo, segundo a classificação de ARNOLD e HILGARTER, o alargamento da incisura troclear ocorre no estágio
37;no site (marcada TECOC);ombro-cotovelo-0204;D;D;Dentre as complicações do procedimento de LATARJET, a reabsorção do enxerto ocorre nas porções
38;no site (marcada TECOC);ombro-cotovelo-0205;A;A;Na semiologia do ombro, o lag sign é positivo quando o paciente é incapaz de manter o braço na rotação lateral máxima e roda medialmente pelo menos
39;no site (marcada TECOC);trauma-0453;B;B;Na artroplastia da cabeça do rádio em cotovelos com insuficiência do ligamento colateral medial, o alongamento máximo do colo para se evitar o overstuffing é de
40;no site (marcada TECOC);ombro-cotovelo-0206;B;B;Nas rupturas do bíceps distal, a posição FABS da ressonância magnética permite visibilização
41;no site (marcada TECOC);mao-0184, ombro-cotovelo-0207;C;C;Na escápula alada causada por lesão crônica do nervo torácico longo, a transferência muscular com melhores resultados é a do(s)
42;no site (marcada TECOC);trauma-0454;C;C;Na fratura-luxação crônica de MONTEGGIA, o tratamento mais indicado é a
43;no site (marcada TECOC);ombro-cotovelo-0208;C;C;Na cicatrização do manguito rotador após o reparo, a mobilização passiva precoce favorece a deposição de colágeno tipo
44;no site (marcada TECOC);ombro-cotovelo-0209;B;B;Na artroplastia total anatômica do ombro, o fenômeno livro aberto no movimento em rotação lateral significa presença de osteófito na região
45;no site (marcada TECOC);ombro-cotovelo-0210;B;B;Na artroplastia reversa, o notching escapular pode ser evitado por meio de
46;no site (marcada TECOC);ombro-cotovelo-0211;B;B;De acordo com o artigo de BURKHART, na avaliação da integridade do cabo rotador, a prevalência da pseudoparalisia na lesão de uma das inserções ou de ambas é, respectivamente, de
47;no site (marcada TECOC);ombro-cotovelo-0212;B;B;A principal causa óssea de crepitação escapulotorácica é(são)
48;no site (marcada TECOC);ombro-cotovelo-0213;A;A;Na anatomia microscópica dos tendões do supraespinal e infraespinal, a estrutura que se localiza na camada IV é(são)
49;no site (marcada TECOC);ombro-cotovelo-0214;C;C;Na imagem a seguir, o hipersinal que pode ser observado no supraespinal normal na sequência DP com supressão de gordura, que desaparece na sequência de T2, é conhecido como
50;NÃO está no site; ;C;;Na avaliação da instabilidade posterior, a lesão descrita por Kim como tipo 3 corresponde a
51;no site (marcada TECOC);trauma-0680;A;A;Na fratura da diáfise da clavícula, o vaso que é vulnerável a lesão por estar fixado à clavícula por uma aponeurose fibrosa é a
52;no site (marcada TECOC);trauma-0681;C;C;A complicação mais frequente da fratura do coronoide é a
53;NÃO está no site; ;B;;Na biomecânica do ombro, o atleta de natação apresenta um aumento da relação de força da musculatura
54;no site (marcada TECOC);trauma-0682;B;B;De acordo com a figura a seguir, as cargas axiais transmitidas através do úmero na face ulnar e radial são, respectivamente,
55;NÃO está no site; ;B;;Na transferência tendínea para insuficiência do subescapular, o tendão que melhor corrige a instabilidade anterior dinâmica é o
56;NÃO está no site; ;D;;Na primoluxação glenoumeral associada à fratura do tubérculo maior, a recidiva é
57;NÃO está no site; ;D;;O sinal de bellows (fole) durante a investigação artroscópica da lesão do manguito rotador corresponde
58;NÃO está no site; ;D;;O termo “femoralização” é utilizado quando
59;no site (marcada TECOC);mao-0343;A;A;Na cirurgia de Eden-Lange para escápula alada, promovemos a
60;NÃO está no site; ;D;;Na imagem a seguir, as setas indicam a lesão labral de
61;NÃO está no site; ;B;;Na reconstrução da cápsula superior para lesões irreparáveis do manguito rotador, a taxa de cicatrização da fáscia lata versus aloenxerto dérmico é
62;NÃO está no site; ;C;;A reabilitação cirúrgica da lesão do manguito rotador é dividida nas seguintes fases, sequencialmente:
63;NÃO está no site; ;B;;Dor, parestesia ou apreensão são patognomônicos de instabilidade inferior quando presentes no teste
64;no site (marcada TECOC);trauma-0683;B;B;Na técnica da artroplastia de cabeça de rádio, a melhor exposição para implantar a prótese é realizada com distração, estresse em
65;NÃO está no site; ;B;;A lesão neurológica iatrogênica mais comum do ombro é a do
66;no site (marcada TECOC);trauma-0684;A;A;No tratamento cirúrgico da tríade terrível, a fratura do coronoide tipo 3 de O’Driscoll deve ser estabilizada
67;no site (marcada TECOC);trauma-0685;D;D;Na instabilidade horizontal da articulação acromioclavicular, os restritores da translação posterior são os ligamentos acromioclaviculares
68;NÃO está no site; ;D;;Dentre as causas abaixo, de osteoartrose glenoumeral no paciente jovem, a mais comum é
69;NÃO está no site; ;C;;As estruturas que formam o assoalho e o teto da polia do bíceps são, respectivamente, o
70;NÃO está no site; ;D;;Na tenodese subpeitoral do bíceps, o afastamento do nervo musculocutâneo do sítio de fixação do tendão aumenta em
71;NÃO está no site; ;A;;Na anatomia do ombro, o túnel do supraespinal é
72;NÃO está no site; ;B;;Dentre as complicações abaixo, de artroplastia total do cotovelo, a mais comum é a
73;NÃO está no site; ;A;;A complicação mais comum do tratamento da luxação simples do cotovelo é a
74;NÃO está no site; ;A;;No tratamento da capsulite adesiva por manipulação sob anestesia, existe risco aumentado de lesões iatrogênicas em pacientes
75;NÃO está no site; ;A;;O acesso cirúrgico na figura a seguir é o de
76;NÃO está no site; ;A;;Os testes com maior sensibilidade para instabilidade glenoumeral anterior são
77;NÃO está no site; ;C;;Nas lesões evidenciadas nas figuras A e B a seguir, o estágio de necrose avascular conforme Cruess e a melhor opção cirúrgica são, respectivamente,
78;NÃO está no site; ;D;;Uma lesão de Hill-Sachs é considerada off-track quando sua borda
79;NÃO está no site; ;D;;No tratamento de lesões irreparáveis do manguito rotador, a reconstrução da cápsula superior
80;NÃO está no site; ;A;;Em relação ao posicionamento na artroscopia do ombro,
81;NÃO está no site; ;B;;Sobre a artroscopia do cotovelo,
82;NÃO está no site; ;B;;Quanto às complicações da cirurgia de Latarjet,
83;no site (marcada TECOC);trauma-0686;D;D;A fratura isolada do tubérculo maior do úmero
84;no site (marcada TECOC);trauma-0687;C;C;Na fratura do corpo da escápula, o tratamento cirúrgico é indicado quando a radiografia em perfil escapular revela uma angulação da borda lateral a partir de
85;no site (marcada TECOC);conceitos-basicos-0175;A;A;O termo ductilidade refere-se à capacidade de um implante
86;NÃO está no site; ;B;;No diagnóstico diferencial da epicondilite lateral, o teste com maior sensibilidade para a irritação do nervo interósseo posterior é a
87;NÃO está no site; ;C;;Na lesão extensa do manguito rotador, a utilização do balão subacromial é contraindicada na
88;no site (marcada TECOC);trauma-0688;C;C;No tratamento cirúrgico da fratura-luxação de Monteggia, a principal causa de reoperação é
89;no site (marcada TECOC);trauma-0689;C;C;A fratura desviada do terço lateral da clavícula, quando tratada conservadoramente, apresenta taxa de retardo de consolidação e pseudoartrose de aproximadamente
90;NÃO está no site; ;D;;Na artroplastia reversa do ombro, o uso da glenosfera com centro de rotação lateralizado
91;NÃO está no site; ;D;;A tendinite calcárea é mais frequente em
92;no site (marcada TECOC);trauma-0690;A;A;A fratura articular parcial da cabeça do rádio é mais frequente na região
93;NÃO está no site; ;B;;A fratura da borda da glenoide que evolui com instabilidade glenoumeral tem como característica um desvio maior que
94;NÃO está no site; ;D;;Na artroplastia total anatômica, o componente glenoidal metal back, quando comparado ao polietileno exclusivo,
95;NÃO está no site; ;B;;Os testes com maior sensibilidade para diagnóstico das lesões ocultas do tendão da cabeça longa do bíceps são
96;NÃO está no site; ;D;;Na lesão extensa do manguito rotador, o teste mais acurado para diagnóstico de lesão do redondo menor é o
97;NÃO está no site; ;B;;Segundo Kwon, o critério com maior pontuação no índice de cicatrização do manguito rotador (RoHI) é
98;NÃO está no site; ;B;;No túnel bicipital, a terra de ninguém (no man’s land) localiza-se na zona
99;NÃO está no site; ;D;;A síndrome de PARSONAGE-TURNER é mais frequente em pacientes do sexo
100;no site (marcada TECOC);mao-0425;B;B;A mão de GILLIAT-SUMMER é uma alteração característica de
101;no site (marcada TECOC);trauma-0773;C;C;A fratura do terço lateral da clavícula demonstrada pela figura a seguir é classificada por ROBINSON como sendo do tipo
102;NÃO está no site; ;C;;Na re-rotura do manguito rotador, o diagnóstico por ressonância tem especificidade e sensibilidade, respectivamente,
103;NÃO está no site; ;B;;Na ruptura do peitoral maior, a lesão isolada da cabeça esternocostal na junção miotendínea é classificada por CORDASCO como tipo
104;NÃO está no site; ;A;;Na lesão vascular do membro superior, os sinais clássicos de oclusão arterial são
105;NÃO está no site; ;B;;Uma lesão isolada completa dos 2/3 superiores do subescapular, de acordo com a classificação de LAFOSSE, é do tipo
106;NÃO está no site; ;D;;Nas transferências musculares em lesões posterossuperiores irreparáveis do manguito rotador, são fatores para pior resultado
107;NÃO está no site; ;A;;O ângulo de alinhamento em valgo do segmento articular distal do úmero é de
108;NÃO está no site; ;C;;Na fratura distal do úmero, a complicação associada ao uso da abordagem transtricipital (triceps-splitting) é a
109;no site (marcada TECOC);trauma-0774;D;D;A área da cabeça radial que apresenta maior densidade óssea, tornando-se menos suscetível a fraturas, é a
110;NÃO está no site; ;C;;Na semiologia do ombro, o teste de crank para diagnóstico de lesão SLAP é realizado com o ombro em
111;NÃO está no site; ;C;;Na lesão SLAP, é artefato que gera falso-positivo na ressonância magnética
112;NÃO está no site; ;B;;"Na capsulite adesiva, a fase de ""congelamento"" dura aproximadamente"
113;NÃO está no site; ;D;;Na articulação esternoclavicular, a função principal do ligamento interclavicular é
114;no site (marcada TECOC);mao-0426;D;D;Na síndrome do túnel cubital, a localização mais comum da compressão é
115;NÃO está no site; ;A;;A condição hematológica que mais comumente causa artropatia do cotovelo é a
116;NÃO está no site; ;A;;Na artroplastia total anatômica do ombro, os parâmetros intraoperatórios de mobilidade que indicam ausência de overstuffing são rotação lateral, translação posterior e rotação medial de, respectivamente,
117;NÃO está no site; ;A;;Na artroplastia do ombro, é sinal de suspeita de infecção por Cutibacterium acnes a presença de
118;no site (marcada TECOC);conceitos-basicos-0194;D;D;Na infecção das osteossínteses, são critérios sugestivo e confirmatório de diagnóstico, respectivamente,
119;NÃO está no site; ;A;;No cotovelo do arremessador, o sinal sugestivo de lesão crônica do ligamento colateral medial é
120;NÃO está no site; ;B;;Na epicondilite lateral, são fatores de risco para falha no tratamento cirúrgico
121;NÃO está no site; ;D;;A artroscopia de cotovelo é geralmente contraindicada na
122;no site (marcada TECOC);trauma-0775;B;B;Na luxação simples do cotovelo, a complicação mais comum é
123;no site (marcada TECOC);trauma-0776;D;D;Na articulação acromioclavicular, a estabilidade posterior da clavícula é proporcionada pelos ligamentos acromioclaviculares e coracoclaviculares
124;no site (marcada TECOC);trauma-0777;C;C;Na fratura da glenoide, quando a cabeça do úmero colide no centro da concavidade, geralmente ocorre fratura GOSS-IDEBERG tipo
125;no site (marcada TECOC);trauma-0778;D;D;Na fratura isolada do tubérculo maior, a melhor incidência radiográfica para sua visualização é
126;no site (marcada TECOC);trauma-0779;D;D;Na fratura de corpo da escápula, é indicação cirúrgica
127;no site (marcada TECOC);conceitos-basicos-0195;A;A;A pseudoartrose diafisária do úmero mais comum e seu tratamento mais frequente são, respectivamente,
128;NÃO está no site; ;D;;Na capsuloplastia inferior aberta descrita por NEER para o tratamento da instabilidade multidirecional do ombro,
129;NÃO está no site; ;D;;Na discinesia escapular de etiologia neurológica, os três nervos mais comumente envolvidos são os
130;NÃO está no site; ;B;;A distrofia fascioescapuloumeral geralmente acomete os músculos
131;NÃO está no site; ;C;;Na insuficiência do serrátil anterior por neuropatia do torácico-longo,
132;NÃO está no site; ;D;;No desenvolvimento ósseo do ombro, o número de centro de ossificações da fossa da glenoide e do úmero proximal são, respectivamente,
133;no site (marcada TECOC);trauma-0781;D;D;Na fratura do colo cirúrgico do úmero tratada com placa bloqueada, a complicação mais comum entre as abaixo é a
134;no site (marcada TECOC);trauma-0782;B;B;No ombro flutuante, indica-se tratamento cirúrgico quando há
135;NÃO está no site; ;A;;Nas artroplastias totais de cotovelo, as fraturas periprotéticas
136;NÃO está no site; ;A;;Na ruptura extensa do manguito rotador, o fator preditivo mais relevante para reparabilidade é a infiltração gordurosa do músculo
137;no site (marcada TECOC);trauma-0783;D;D;Na classificação da articulação acromioclavicular descrita por EMURA, ausência de disco e superfícies articulares planas caracterizam o tipo
138;NÃO está no site; ;C;;São maneiras de reduzir a tensão do reparo de lesão retraída do supraespinal
139;NÃO está no site; ;C;;Os métodos de avaliação do trofismo muscular do manguito rotador usados nas figuras a seguir são, respectivamente,
140;no site (marcada TECOC);trauma-0784;B;B;No cotovelo flutuante,
141;no site (marcada TECOC);pediatria-0378;B;B;O primeiro centro de ossificação do cotovelo a aparecer é o
142;no site (marcada TECOC);trauma-0785;D;D;Na consolidação viciosa do tubérculo maior do úmero, a
143;NÃO está no site; ;B;;A artrodese do ombro é indicada quando há
144;NÃO está no site; ;C;;No ombro do arremessador, a lesão de SLAP com extensão panlabial é descrita por NORD e RYU como tipo
145;NÃO está no site; ;B;;O músculo serrátil anterior
146;NÃO está no site; ;A;;Na artroplastia do ombro, é manifestação clínica da síndrome da implantação do cimento
147;NÃO está no site; ;A;;Nesta cirurgia, o nervo em risco e o momento de ocorrência da lesão são, respectivamente,
148;NÃO está no site; ;A;;Na osteoartrite do ombro de um paciente de 55 anos, a combinação que melhor representa um candidato a artroplastia total anatômica é
149;NÃO está no site; ;D;;Na cirurgia do peitoral maior, as figuras a seguir ilustram, respectivamente,
150;NÃO está no site; ;C;;A lesão de Hill-Sachs demonstrada na figura a seguir é classificada por YAMAMOTO como
151;NÃO está no site; ;B;;Na figura a seguir, da esquerda para a direita (rosa, laranja e azul), identificam-se os
152;NÃO está no site; ;B;;Na avaliação da instabilidade posterior, a figura que descreve a mensuração do ângulo gama é
153;NÃO está no site; ;C;;Na figura a seguir, o design do componente umeral é
154;NÃO está no site; ;C;;Na artroplastia reversa com glenoide do tipo E3 de FAVARD, a fresagem corretiva da glenoide deve ser realizada predominantemente na região da letra
155;NÃO está no site; ;C;;O portal artroscópico demarcado com um “X” no ombro direito da figura a seguir tem como nome e finalidade, respectivamente,
156;no site (marcada TECOC);trauma-0786;C;C;A fratura nas figuras a seguir é classificada, segundo NEER, como tipo
157;NÃO está no site; ;C;;Na imagem tomográfica a seguir com retroversão da glenoide de 20˚, a artrose pode ser classificada por WALCH como
158;NÃO está no site; ;C;;A figura a seguir ilustra a técnica de
159;NÃO está no site; ;B;;Na avaliação intraoperatória da instabilidade do cotovelo, o posicionamento com estresse (figura B) e o ligamento avaliado são, respectivamente,
160;NÃO está no site; ;C;;As alterações radiográficas nas imagens a seguir são sugestivas de
161;NÃO está no site; ;C;;A imagem a seguir representa o teste
162;NÃO está no site; ;D;;A radiografia a seguir é obtida com o feixe de raios
163;no site (marcada TECOC);trauma-0787;B;B;A provável causa da fratura mostrada na imagem a seguir é um erro de
164;no site (marcada TECOC);trauma-0788;B;B;Na fixação do fragmento medial da imagem a seguir, a estrutura em risco e a sua posição em relação à clavícula são, respectivamente,
165;NÃO está no site; ;D;;A incidência radiográfica demonstrada nas imagens a seguir é a de
166;NÃO está no site; ;B;;Paciente com tendinopatia calcárea realizou o procedimento exemplificado na imagem a seguir. A complicação mais comum desse procedimento é
167;NÃO está no site; ;D;;A via de BOYD do cotovelo é feita através do intervalo demarcado na figura pela letra
168;no site (marcada TECOC);ombro-cotovelo-0304, trauma-0789;B;B;A exposição abaixo é mais bem obtida com distração longitudinal e estresse em
169;no site (marcada TECOC);ombro-cotovelo-0305, trauma-0790;B;B;Na fratura da cabeça do rádio, a zona de segurança para a osteossíntese com o antebraço em posição neutra está representada na figura abaixo pelo número
170;no site (marcada TECOC);ombro-cotovelo-0306;A;A;A imagem abaixo, de um ombro direito, corresponde à via de acesso de
171;no site (marcada TECOC);ombro-cotovelo-0307;D;D;Na confecção do fixador externo articulado, o centro de rotação é representado pelas letras
172;no site (marcada TECOC);ombro-cotovelo-0308, trauma-0791;C;C;Durante o bloqueio indicado pela seta na figura a seguir, os nervos sob maior risco são
173;no site (marcada TECOC);ombro-cotovelo-0309;D;D;Na imagem a seguir, o sinal radiográfico e o diagnóstico são, respectivamente,
174;no site (marcada TECOC);ombro-cotovelo-0310;A;A;Na técnica cirúrgica demonstrada nas imagens a seguir, é complicação frequente a
175;no site (marcada TECOC);ombro-cotovelo-0395;D;D;A lesão tendínea distal do bíceps braquial tem como fator de risco o uso de
176;no site (marcada TECOC);trauma-0964;A;A;No tratamento cirúrgico da fratura-luxação de MONTEGGIA, a primeira lesão a ser abordada é a
177;no site (marcada TECOC);ombro-cotovelo-0396;C;C;O uso de enxerto tendíneo é imprescindível na transferência muscular do
178;no site (marcada TECOC);ombro-cotovelo-0397;D;D;Na artroplastia total anatômica do ombro, o overstuffing pode ocorrer por
179;no site (marcada TECOC);trauma-0965;A;A;Nas fraturas proximais do úmero tratadas por osteossíntese com placa, é fator de risco para desenvolvimento de osteonecrose avascular a
180;no site (marcada TECOC);trauma-0966;C;C;A tríade terrível do cotovelo está associada a um padrão de instabilidade
181;no site (marcada TECOC);trauma-0967;B;B;Na fratura da escápula, é indicação de tratamento cirúrgico
182;no site (marcada TECOC);ombro-cotovelo-0398;C;D;Na cirurgia de LATARJET recomenda-se, para elevar o potencial de consolidação,
183;no site (marcada TECOC);ombro-cotovelo-0399;B;B;Na artrodese escapulotorácica, a posição ideal da escápula é em
184;no site (marcada TECOC);ombro-cotovelo-0400;A;A;Na reconstrução da cápsula superior do ombro,
185;no site (marcada TECOC);ombro-cotovelo-0401;C;C;São estruturas que compõem o complexo suspensório superior do ombro o ligamento
186;no site (marcada TECOC);ombro-cotovelo-0402;C;C;Na osteoartrite primária degenerativa do ombro, a bad arthritic triad representa
187;no site (marcada TECOC);ombro-cotovelo-0403;A;A;O design da artroplastia total reversa que melhor recria os braços de momento de um ombro normal é aquele com glenosfera e componente umeral, respectivamente,
188;no site (marcada TECOC);trauma-0968;D;D;A localização típica da pseudoartrose da extremidade distal do úmero no adulto é
189;no site (marcada TECOC);ombro-cotovelo-0404;A;A;É característica do ombro do arremessador uma
190;no site (marcada TECOC);trauma-0969;B;B;Na luxação acromioclavicular (AC), os principais responsáveis pela estabilidade no sentido anterior são os ligamentos
191;no site (marcada TECOC);ombro-cotovelo-0407;A;A;"O ""cabo rotador"" é uma estrutura"
192;no site (marcada TECOC);ombro-cotovelo-0408;B;B;Na artrodese de cotovelo, as preferências de ângulos de flexão para trabalho braçal e para trabalho administrativo com computador são, respectivamente,
193;no site (marcada TECOC);ombro-cotovelo-0409;C;C;Nas lesões do manguito rotador, o comma sign é composto pelos ligamentos
194;no site (marcada TECOC);ombro-cotovelo-0410;A;A;No tratamento cirúrgico da epicondilite lateral, uma das estruturas que impede a retração distal do extensor radial curto do carpo é
195;no site (marcada TECOC);ombro-cotovelo-0411;A;A;Na capsulite adesiva do ombro, o bloqueio do nervo supraescapular promove a melhora da(o)
196;no site (marcada TECOC);trauma-0970;C;C;Na fixação minimamente invasiva da fratura diafisária do úmero com placa em ponte anterior, o nervo em risco é o
197;no site (marcada TECOC);ombro-cotovelo-0413;B;B;Para o uso seguro de aspirado de medula óssea (BMA), sua obtenção deve ser contraindicada em vigência de
198;no site (marcada TECOC);ombro-cotovelo-0414;D;D;No tratamento da osteoartrite acromioclavicular, a ressecção distal da clavícula por artroscopia é eficaz na preservação dos ligamentos acromioclaviculares
199;no site (marcada TECOC);ombro-cotovelo-0415;A;A;Na artroplastia reversa, é fator de risco para ocorrência de fratura por estresse do acrômio e/ou da espinha da escápula
200;no site (marcada TECOC);ombro-cotovelo-0416;B;B;Quanto às complicações da cirurgia de LATARJET,
201;no site (marcada TECOC);ombro-cotovelo-0417;D;D;Os limites proximal e distal da no man's land da cabeça longa do bíceps braquial são, respectivamente, a
202;no site (marcada TECOC);ombro-cotovelo-0418;A;A;Na reabilitação pós-operatória do ombro, o exercício passivo que promove maior ativação do músculo supraespinal é o
203;no site (marcada TECOC);trauma-0971;C;C;Na fratura do coronoide tipo II de REGAN-MORREY, a manobra intraoperatória que auxilia na indicação de fixação é o(a)
204;no site (marcada TECOC);trauma-0972;D;D;Para escolha do tamanho e do comprimento adequados da prótese da cabeça do rádio, deve-se evitar o uso
205;no site (marcada TECOC);ombro-cotovelo-0419;D;D;Para a implantação do componente da glenoide da artroplastia do ombro, a instrumentação específica (PSI), quando comparada com a convencional, proporciona melhor precisão
206;no site (marcada TECOC);ombro-cotovelo-0420;B;B;O principal estabilizador anteroposterior da articulação esternoclavicular é
207;no site (marcada TECOC);trauma-0973;D;D;Nas fraturas proximais do úmero, segundo HERTEL, é fator preditivo independente para isquemia da cabeça umeral
208;no site (marcada TECOC);ombro-cotovelo-0421;B;B;Na tendinite calcárea, é fator de risco para a falha do tratamento conservador
209;no site (marcada TECOC);ombro-cotovelo-0422;C;C;Na avaliação do cotovelo pela escala MEPS (Mayo Elbow Performance Score), fazem parte as variáveis
210;no site (marcada TECOC);ombro-cotovelo-0423;B;B;Na lesão distal do tríceps braquial,
211;no site (marcada TECOC);ombro-cotovelo-0424;B;C;No reparo artroscópico de BANKART, segundo BAILE et al., há evidência de que a implantação da âncora às 6 horas no decúbito lateral, quando comparada à cadeira de praia, é tecnicamente
212;no site (marcada TECOC);ombro-cotovelo-0425;B;B;O principal estabilizador contra o estresse em varo com o cotovelo em extensão é
213;no site (marcada TECOC);ombro-cotovelo-0426;B;B;Os três D's que caracterizam a artropatia de CHARCOT são
214;no site (marcada TECOC);ombro-cotovelo-0427;D;D;No tratamento cirúrgico da rigidez do cotovelo, é indicação relativa de exploração do nervo ulnar a presença de
215;no site (marcada TECOC);ombro-cotovelo-0428;A;A;A instabilidade rotatória posteromedial do cotovelo tem como mecanismo de trauma a carga axial com estresse em
216;no site (marcada TECOC);mao-0564, ombro-cotovelo-0429;D;D;A síndrome compressiva no espaço quadrangular acomete o nervo
217;no site (marcada TECOC);ombro-cotovelo-0430;C;D;Na instabilidade posterior do ombro, é fator preditor de falha do tratamento conservador
218;no site (marcada TECOC);ombro-cotovelo-0431;D;D;No Rotator Cuff Healing Index, é fator de risco independente para falha de cicatrização
219;no site (marcada TECOC);ombro-cotovelo-0432;D;D;Na liberação artroscópica da cápsula anterior do cotovelo, está sob maior risco de lesão o nervo
220;no site (marcada TECOC);trauma-0975;A;A;A fratura representada na figura acima é classificada, segundo BRYAN-MORREY, como do tipo
221;no site (marcada TECOC);ombro-cotovelo-0434;A;A;Na artroplastia do ombro, o stress shielding proximal do úmero ocorre por
222;no site (marcada TECOC);ombro-cotovelo-0435;C;C;A lesão SLAP na figura acima é classificada por SNYDER como do tipo
